date	close	down	downSize	recovery	redMark		val				
1-Sep-09	1633.63	 	0	1	 		0				
2-Sep-09	1628.66	0	0	2	0		0				
3-Sep-09	1642.68	0	0	3	0		0			192	
4-Sep-09	1664.34	0	0	4	0		0			135	
8-Sep-09	1679.32	0	0	5	0		0			187	
9-Sep-09	1692.48	0	0	6	0		0			94	
10-Sep-09	1710.14	0	0	7	0		0			35	
11-Sep-09	1708.18	0	0	8	0		0			77	
14-Sep-09	1719.04	0	0	9	0		0			30	
15-Sep-09	1724.45	0	0	10	0		0			44	
16-Sep-09	1750.91	0	0	11	0		0			25	
17-Sep-09	1745.8	0	0	12	0		0			16	
18-Sep-09	1750.43	0	0	13	0		0				
21-Sep-09	1744.47	0	0	14	0		0				
22-Sep-09	1755.99	0	0	15	0		0				
23-Sep-09	1738.32	0	0	16	0		0				
24-Sep-09	1722.02	0	0	17	0		0				
25-Sep-09	1711.53	0	0	18	0		0				
28-Sep-09	1742.32	0	0	19	0		0				
29-Sep-09	1738.48	0	0	20	0		0				
30-Sep-09	1732.86	0	0	21	0		0				
1-Oct-09	1688.24	0	0	22	0		0				
2-Oct-09	1680.7	0	0	23	0		0				
5-Oct-09	1705.73	0	0	24	0		0				
6-Oct-09	1729.14	0	0	25	0		0				
7-Oct-09	1734.74	0	0	26	0		0				
8-Oct-09	1747.7	0	0	27	0		0				
9-Oct-09	1757.6	0	0	28	0		0				
12-Oct-09	1765.31	0	0	29	0		0				
13-Oct-09	1760.51	0	0	30	0		0				
14-Oct-09	1791.47	0	0	31	0		0				
15-Oct-09	1798.91	0	0	32	0		0				
16-Oct-09	1784.35	0	0	33	0		0				
19-Oct-09	1801.12	0	0	34	0		0				
20-Oct-09	1789.93	1	5.6	16	0		0				
21-Oct-09	1774.33	1	5.6	16	0		0				
22-Oct-09	1793.34	1	5.6	16	1		1804.93				
23-Oct-09	1771.5	1	5.6	16	1		1804.93				
26-Oct-09	1750.75	1	5.6	16	1		1804.93				
27-Oct-09	1744.95	1	5.6	16	1		1804.93				
28-Oct-09	1711.09	1	5.6	16	1		1804.93				
29-Oct-09	1749.76	1	5.6	16	1		1804.93				
30-Oct-09	1700.67	1	5.6	16	1	1804.93	1804.93				
2-Nov-09	1711.65	1	5.6	16	1		1804.93				
3-Nov-09	1715.81	1	5.6	16	1		1804.93				
4-Nov-09	1718.21	1	5.6	16	1		1804.93				
5-Nov-09	1751.45	1	5.6	16	1		1804.93				
6-Nov-09	1756.07	1	5.6	16	1		1804.93				
9-Nov-09	1795.56	1	5.6	16	0		0				
10-Nov-09	1795.9	1	5.6	16	0		0				
11-Nov-09	1804.93	1	5.6	16	0		0				
12-Nov-09	1786.66	0	0	52	0		0				
13-Nov-09	1796.93	0	0	53	0		0				
16-Nov-09	1823.29	0	0	54	0		0				
17-Nov-09	1825.18	0	0	55	0		0				
18-Nov-09	1824.61	0	0	56	0		0				
19-Nov-09	1800.12	0	0	57	0		0				
20-Nov-09	1794.65	0	0	58	0		0				
23-Nov-09	1819.17	0	0	59	0		0				
24-Nov-09	1818.31	0	0	60	0		0				
25-Nov-09	1826.74	0	0	61	0		0				
27-Nov-09	1795.7	0	0	62	0		0				
30-Nov-09	1802.68	0	0	63	0		0				
1-Dec-09	1824.54	0	0	64	0		0				
2-Dec-09	1825.4	0	0	65	0		0				
3-Dec-09	1810.13	0	0	66	0		0				
4-Dec-09	1820.11	0	0	67	0		0				
7-Dec-09	1815.7	0	0	68	0		0				
8-Dec-09	1797.31	0	0	69	0		0				
9-Dec-09	1804.1	0	0	70	0		0				
10-Dec-09	1814.81	0	0	71	0		0				
11-Dec-09	1821.5	0	0	72	0		0				
14-Dec-09	1834.55	0	0	73	0		0				
15-Dec-09	1824.37	0	0	74	0		0				
16-Dec-09	1826.45	0	0	75	0		0				
17-Dec-09	1804.96	0	0	76	0		0				
18-Dec-09	1815.35	0	0	77	0		0				
21-Dec-09	1834.59	0	0	78	0		0				
22-Dec-09	1841.17	0	0	79	0		0				
23-Dec-09	1845.8	0	0	80	0		0				
24-Dec-09	1855.5	0	0	81	0		0				
28-Dec-09	1857.89	0	0	82	0		0				
29-Dec-09	1855.61	0	0	83	0		0				
30-Dec-09	1856.14	0	0	84	0		0				
31-Dec-09	1837.5	0	0	85	0		0				
4-Jan-10	1867.06	0	0	86	0		0				
5-Jan-10	1872.9	0	0	87	0		0				
6-Jan-10	1874.73	0	0	88	0		0				
7-Jan-10	1882.34	0	0	89	0		0				
8-Jan-10	1887.77	0	0	90	0		0				
11-Jan-10	1891.06	0	0	91	0		0				
12-Jan-10	1873.32	0	0	92	0		0				
13-Jan-10	1889.1	0	0	93	0		0				
14-Jan-10	1893.72	0	0	94	0		0				
15-Jan-10	1873.3	0	0	95	0		0				7.27
19-Jan-10	1896.72	0	0	96	0		0				
20-Jan-10	1876.9	1	8	35	1		1903.68				
21-Jan-10	1841.39	1	8	35	1		1903.68				
22-Jan-10	1800.61	1	8	35	1		1903.68				
25-Jan-10	1808.93	1	8	35	1		1903.68				
26-Jan-10	1801.34	1	8	35	1		1903.68				
27-Jan-10	1810.21	1	8	35	1		1903.68				
28-Jan-10	1788.97	1	8	35	1		1903.68				
29-Jan-10	1771.4	1	8	35	1		1903.68				
1-Feb-10	1796.67	1	8	35	1		1903.68				
2-Feb-10	1819.99	1	8	35	1		1903.68				
3-Feb-10	1810.64	1	8	35	1		1903.68				
4-Feb-10	1754.3	1	8	35	1		1903.68				
5-Feb-10	1759.38	1	8	35	1		1903.68				
8-Feb-10	1744.37	1	8	35	1	1903.68	1903.68				
9-Feb-10	1767.18	1	8	35	1		1903.68				
10-Feb-10	1763.69	1	8	35	1		1903.68				
11-Feb-10	1781.01	1	8	35	1		1903.68				
12-Feb-10	1776.5	1	8	35	1		1903.68				
16-Feb-10	1808.72	1	8	35	1		1903.68				
17-Feb-10	1816.7	1	8	35	1		1903.68				
18-Feb-10	1828.81	1	8	35	1		1903.68				
19-Feb-10	1833.09	1	8	35	1		1903.68				
22-Feb-10	1831.21	1	8	35	1		1903.68				
