,,,,,,,S&P 500 Total Return,,,,,,,N'th,,Row of,High Price,Row of ,,Value ,# Days Since,Length of ,Min Value,Start ,,
,,,,,,,Closing,Daily,Closing Price,,,,% Max,Largest,Drawdown,Drawdown,Prior to ,1st Day of,,At,Prior ,Drawdown,During,Date of,,
,Date,,,,,,Price,% Return,(100 scale),100,0,,Drawdown,Drawdown,Size,Recovery,Drawdown,Drawdown,,Recovery,Drawdown,in # Days,Drawdown,Drawdown,,
242,8/17/2010,,,,,1,"1,823.18",1.25%,111.6,123.48,19.3,,,,,,,,,,,,,,,
243,8/18/2010,,,,,1,"1,826.14",0.16%,111.78,123.48,19.3,,,,,,,,,,,,,,,
244,8/19/2010,,,,,1,"1,795.24",-1.69%,109.89,123.48,19.3,,,,,,,,,,,,,,,
245,8/20/2010,,,,,1,"1,788.67",-0.37%,109.49,123.48,19.3,,,,,,,,,,,,,,,
246,8/23/2010,,,,,1,"1,781.47",-0.40%,109.05,123.48,19.3,,,,,,,,,,,,,,,
247,8/24/2010,,,,,1,"1,755.65",-1.45%,107.47,123.48,19.3,,,,,,,,,,,,,,,
248,8/25/2010,,,,,1,"1,761.62",0.34%,107.83,123.48,19.3,,,,,,,,,,,,,,,
249,8/26/2010,,,,,1,"1,748.14",-0.77%,107.01,123.48,19.3,,,,,,,,,,,,,,,
250,8/27/2010,,,,,1,"1,777.60",1.69%,108.81,123.48,19.3,,,,,,,,,,,,,,,
251,8/30/2010,,,,,1,"1,751.79",-1.45%,107.23,123.48,19.3,,,,,,,,,,,,,,,
252,8/31/2010,,,,,1,"1,752.55",0.04%,107.28,123.48,19.3,,,,,,,,,,,,,,,
253,9/1/2010,,,,,1,"1,804.46",2.96%,110.46,123.48,19.3,,,,,,,,,,,,,,,
254,9/2/2010,,,,,1,"1,820.98",0.92%,111.47,123.48,19.3,,,,,,,,,,,,,,,
255,9/3/2010,,,,,1,"1,845.10",1.32%,112.94,123.48,19.3,,,,,,,,,,,,,,,
256,9/7/2010,,,,,1,"1,824.05",-1.14%,111.66,123.48,19.3,,,,,,,,,,,,,,,
257,9/8/2010,,,,,1,"1,836.21",0.67%,112.4,123.48,19.3,,,,,,,,,,,,,,,
258,9/9/2010,,,,,1,"1,845.09",0.48%,112.94,123.48,19.3,,,,,,,,,,,,,,,
259,9/10/2010,,,,,1,"1,854.10",0.49%,113.5,123.48,19.3,,,,,,,,,,,,,,,
260,9/13/2010,,,,,1,"1,875.41",1.15%,114.8,123.48,19.3,,,,,,,,,,,,,,,
261,9/14/2010,,,,,1,"1,874.07",-0.07%,114.72,123.48,19.3,,,,,,,,,,,,,,,
262,9/15/2010,,,,,1,"1,880.74",0.36%,115.13,123.48,19.3,,,,,,,,,,,,,,,
263,9/16/2010,,,,,1,"1,880.37",-0.02%,115.1,123.48,19.3,,,,,,,,,,,,,,,
264,9/17/2010,,,,,1,"1,881.93",0.08%,115.2,123.48,19.3,,,,,,,,,,,,,,,
265,9/20/2010,,,,,1,"1,910.60",1.52%,116.95,123.48,19.3,,,,,,,,,,,,,,,
266,9/21/2010,,,,,1,"1,905.74",-0.25%,116.66,123.48,19.3,,,,,,,,,,,,,,,
267,9/22/2010,,,,,1,"1,896.77",-0.47%,116.11,123.48,19.3,,,,,,,,,,,,,,,
268,9/23/2010,,,,,1,"1,880.97",-0.83%,115.14,123.48,19.3,,,,,,,,,,,,,,,
269,9/24/2010,,,,,1,"1,920.84",2.12%,117.58,123.48,19.3,,,,,,,,,,,,,,,
270,9/27/2010,,,,,1,"1,909.98",-0.57%,116.92,123.48,19.3,,,,,,,,,,,,,,,
271,9/28/2010,,,,,1,"1,919.59",0.50%,117.5,123.48,19.3,,,,,,,,,,,,,,,
272,9/29/2010,,,,,1,"1,914.84",-0.25%,117.21,123.48,19.3,,,,,,,,,,,,,,,
273,9/30/2010,,,,,1,"1,908.95",-0.31%,116.85,123.48,19.3,,,,,,,,,,,,,,,
274,10/1/2010,,,,,1,"1,917.42",0.44%,117.37,123.48,19.3,,,,,,,,,,,,,,,
275,10/4/2010,,,,,1,"1,902.15",-0.80%,116.44,123.48,19.3,,,,,,,,,,,,,,,
276,10/5/2010,,,,,1,"1,941.82",2.09%,118.87,123.48,19.3,,,,,,,,,,,,,,,
277,10/6/2010,,,,,1,"1,941.50",-0.02%,118.85,123.48,19.3,,,,,,,,,,,,,,,
278,10/7/2010,,,,,1,"1,938.31",-0.16%,118.65,123.48,19.3,,,,,,,,,,,,,,,
279,10/8/2010,,,,,1,"1,950.18",0.61%,119.38,123.48,19.3,,,,,,,,,,,,,,,
280,10/11/2010,,,,,1,"1,950.47",0.01%,119.39,123.48,19.3,,,,,,,,,,,,,,,
281,10/12/2010,,,,,1,"1,957.92",0.38%,119.85,123.48,19.3,,,,,,,,,,,,,,,
282,10/13/2010,,,,,1,"1,972.08",0.72%,120.72,123.48,19.3,,,,,,,,,,,,,,,
283,10/14/2010,,,,,1,"1,964.90",-0.36%,120.28,123.48,19.3,,,,,,,,,,,,,,,
284,10/15/2010,,,,,1,"1,968.87",0.20%,120.52,123.48,19.3,,,,,,,,,,,,,,,
285,10/18/2010,,,,,1,"1,983.17",0.73%,121.4,123.48,19.3,,,,,,,,,,,,,,,
286,10/19/2010,,,,,1,"1,951.67",-1.59%,119.47,123.48,19.3,,,,,,,,,,,,,,,
287,10/20/2010,,,,,1,"1,972.51",1.07%,120.74,123.48,19.3,,,,,,,,,,,,,,,
288,10/21/2010,,,,,1,"1,976.12",0.18%,120.96,123.48,19.3,,,,,,,,,,,,,,,
289,10/22/2010,,,,,1,"1,980.83",0.24%,121.25,123.48,19.3,,,,,,,,,,,,,,,
290,10/25/2010,,,,,1,"1,985.11",0.22%,121.52,123.48,19.3,,,,,,,,,,,,,,,
291,10/26/2010,,,,,1,"1,985.13",0.00%,121.52,123.48,19.3,,,,,,,,,,,,,,,
292,10/27/2010,,,,,1,"1,980.05",-0.26%,121.21,123.48,19.3,,,,,,,,,,,,,,,
293,10/28/2010,,,,,1,"1,982.45",0.12%,121.35,123.48,19.3,,,,,,,,,,,,,,,
294,10/29/2010,,,,,1,"1,981.59",-0.04%,121.3,123.48,19.3,,,,,,,,,,,,,,,
295,11/1/2010,,,,,1,"1,983.47",0.09%,121.41,123.48,19.3,,,,,,,,,,,,,,,
296,11/2/2010,,,,,1,"1,998.86",0.78%,122.36,123.48,19.3,,,,,,,,,,,,,,,
297,11/3/2010,,,,,1,"2,006.58",0.39%,122.83,123.48,19.3,,,,,,,,,,,,,,,
298,11/4/2010,,,,,1,"2,045.62",1.95%,125.22,125.22,0,19.3,15.41%,,,,,,,,,,,,,
299,11/5/2010,,,,,,"2,053.77",0.40%,125.72,125.72,0,,,,,,,,,,,,,,,
300,11/8/2010,,,,,,"2,049.69",-0.20%,125.47,125.72,0.25,,,,,,,,,,,,,,,
301,11/9/2010,,,,,,"2,033.85",-0.77%,124.5,125.72,1.22,,,,,,,,,,,,,,,
302,11/10/2010,,,,,,"2,043.16",0.46%,125.07,125.72,1.22,,,,,,,,,,,,,,,
303,11/11/2010,,,,,,"2,034.48",-0.42%,124.54,125.72,1.22,,,,,,,,,,,,,,,
304,11/12/2010,,,,,,"2,010.57",-1.18%,123.07,125.72,2.64,,,,,,,,,,,,,,,
305,11/15/2010,,,,,,"2,008.25",-0.12%,122.93,125.72,2.79,,,,,,,,,,,,,,,
306,11/16/2010,,,,,,"1,976.26",-1.59%,120.97,125.72,4.74,,,,,,,,,,,,,,,
307,11/17/2010,,,,,,"1,977.00",0.04%,121.02,125.72,4.74,,,,,,,,,,,,,,,
308,11/18/2010,,,,,,"2,007.38",1.54%,122.88,125.72,4.74,,,,,,,,,,,,,,,
309,11/19/2010,,,,,,"2,012.59",0.26%,123.2,125.72,4.74,,,,,,,,,,,,,,,
310,11/22/2010,,,,,,"2,009.52",-0.15%,123.01,125.72,4.74,,,,,,,,,,,,,,,
311,11/23/2010,,,,,,"1,980.89",-1.42%,121.26,125.72,4.74,,,,,,,,,,,,,,,
312,11/24/2010,,,,,,"2,010.56",1.50%,123.07,125.72,4.74,,,,,,,,,,,,,,,
313,11/26/2010,,,,,,"1,996.03",-0.72%,122.18,125.72,4.74,,,,,,,,,,,,,,,
314,11/29/2010,,,,,,"1,993.83",-0.11%,122.05,125.72,4.74,,,,,,,,,,,,,,,
315,11/30/2010,,,,,,"1,981.84",-0.60%,121.32,125.72,4.74,,,,,,,,,,,,,,,
316,12/1/2010,,,,,,"2,024.97",2.18%,123.96,125.72,4.74,,,,,,,,,,,,,,,
317,12/2/2010,,,,,,"2,050.96",1.28%,125.55,125.72,4.74,,,,,,,,,,,,,,,
318,12/3/2010,,,,,,"2,056.40",0.27%,125.88,125.88,0,4.74,3.77%,,,,,,,,,,,,,
319,12/6/2010,,,,,,"2,053.80",-0.13%,125.72,125.88,0.16,,,,,,,,,,,,,,,
320,12/7/2010,,,,,,"2,054.89",0.05%,125.79,125.88,0.16,,,,,,,,,,,,,,,
321,12/8/2010,,,,,,"2,063.03",0.40%,126.29,126.29,0,0.16,0.13%,,,,,,,,,,,,,
322,12/9/2010,,,,,1,"2,071.12",0.39%,126.78,126.78,0,,,,,,,,,,,,,,,
323,12/10/2010,,,,,1,"2,083.57",0.60%,127.54,127.54,0,,,,,,,,,,,,,,,
324,12/13/2010,,,,,1,"2,084.00",0.02%,127.57,127.57,0,,,,,,,,,,,,,,,
325,12/14/2010,,,,,1,"2,085.93",0.09%,127.69,127.69,0,,,,,,,,,,,,,,,
326,12/15/2010,,,,,1,"2,075.29",-0.51%,127.04,127.69,0.65,,,,,,,,,,,,,,,
327,12/16/2010,,,,,1,"2,088.19",0.62%,127.83,127.83,0,0.65,0.51%,,,,,,,,,,,,,
328,12/17/2010,,,,,1,"2,089.95",0.08%,127.93,127.93,0,,,,,,,,,,,,,,,
329,12/20/2010,,,,,1,"2,095.32",0.26%,128.26,128.26,0,,,,,,,,,,,,,,,
330,12/21/2010,,,,,1,"2,108.26",0.62%,129.05,129.05,0,,,,,,,,,,,,,,,
331,12/22/2010,,,,,1,"2,115.69",0.35%,129.51,129.51,0,,,,,,,,,,,,,,,
332,12/23/2010,,,,,1,"2,112.37",-0.16%,129.31,129.51,0.2,,,,,,,,,,,,,,,
333,12/27/2010,,,,,1,"2,113.67",0.06%,129.38,129.51,0.2,,,,,,,,,,,,,,,
334,12/28/2010,,,,,1,"2,115.32",0.08%,129.49,129.51,0.2,,,,,,,,,,,,,,,
335,12/29/2010,,,,,1,"2,117.83",0.12%,129.64,129.64,0,0.2,0.16%,,,,,,,,,,,,,
336,12/30/2010,,,,,1,"2,114.70",-0.15%,129.45,129.64,0.19,,,,,,,,,,,,,,,
337,12/31/2010,,,,,1,"2,114.29",-0.02%,129.42,129.64,0.22,,,,,,,,,,,,,,,
338,1/3/2011,,,,,1,"2,138.30",1.14%,130.89,130.89,0,0.22,0.17%,,,,,,,,,,,,,
339,1/4/2011,,,,,1,"2,135.53",-0.13%,130.72,130.89,0.17,,,,,,,,,,,,,,,
340,1/5/2011,,,,,1,"2,146.50",0.51%,131.39,131.39,0,0.17,0.13%,,,,,,,,,,,,,
341,1/6/2011,,,,,1,"2,142.76",-0.17%,131.17,131.39,0.23,,,,,,,,,,,,,,,
342,1/7/2011,,,,,1,"2,138.81",-0.18%,130.92,131.39,0.47,,,,,,,,,,,,,,,
343,1/10/2011,,,,,1,"2,135.86",-0.14%,130.74,131.39,0.65,,,,,,,,,,,,,,,
344,1/11/2011,,,,,1,"2,143.82",0.37%,131.23,131.39,0.65,,,,,,,,,,,,,,,
345,1/12/2011,,,,,1,"2,163.36",0.91%,132.43,132.43,0,0.65,0.49%,,,,,,,,,,,,,
346,1/13/2011,,,,,1,"2,159.66",-0.17%,132.2,132.43,0.23,,,,,,,,,,,,,,,
347,1/14/2011,,,,,1,"2,175.68",0.74%,133.18,133.18,0,0.23,0.17%,,,,,,,,,,,,,
348,1/18/2011,,,,,1,"2,178.72",0.14%,133.37,133.37,0,,,,,,,,,,,,,,,
349,1/19/2011,,,,,1,"2,156.97",-1.00%,132.04,133.37,1.33,,,,,,,,,,,,,,,
350,1/20/2011,,,,,1,"2,154.18",-0.13%,131.86,133.37,1.5,,,,,,,,,,,,,,,
351,1/21/2011,,,,,1,"2,159.43",0.24%,132.19,133.37,1.5,,,,,,,,,,,,,,,
352,1/24/2011,,,,,1,"2,172.03",0.58%,132.96,133.37,1.5,,,,,,,,,,,,,,,
353,1/25/2011,,,,,1,"2,172.67",0.03%,133,133.37,1.5,,,,,,,,,,,,,,,
354,1/26/2011,,,,,1,"2,181.92",0.43%,133.56,133.56,0,1.5,1.12%,,,,,,,,,,,,,
355,1/27/2011,,,,,1,"2,186.93",0.23%,133.87,133.87,0,,,,,,,,,,,,,,,
356,1/28/2011,,,,,1,"2,147.95",-1.78%,131.48,133.87,2.39,,,,,,,,,,,,,,,
357,1/31/2011,,,,,1,"2,164.40",0.77%,132.49,133.87,2.39,,,,,,,,,,,,,,,
358,2/1/2011,,,,,1,"2,200.54",1.67%,134.7,134.7,0,2.39,1.77%,,,,,,,,,,,,,
359,2/2/2011,,,,,1,"2,194.94",-0.25%,134.36,134.7,0.34,,,,,,,,,,,,,,,
360,2/3/2011,,,,,1,"2,200.42",0.25%,134.7,134.7,0.34,,,,,,,,,,,,,,,
361,2/4/2011,,,,,1,"2,206.80",0.29%,135.09,135.09,0,0.34,0.25%,,,,,,,,,,,,,
362,2/7/2011,,,,,1,"2,220.60",0.63%,135.93,135.93,0,,,,,,,,,,,,,,,
363,2/8/2011,,,,,1,"2,230.59",0.45%,136.54,136.54,0,,,,,,,,,,,,,,,
364,2/9/2011,,,,,1,"2,224.64",-0.27%,136.18,136.54,0.36,,,,,,,,,,,,,,,
365,2/10/2011,,,,,1,"2,226.51",0.08%,136.29,136.54,0.36,,,,,,,,,,,,,,,
366,2/11/2011,,,,,1,"2,239.08",0.56%,137.06,137.06,0,0.36,0.27%,,,,,,,,,,,,,
367,2/14/2011,,,,,1,"2,244.89",0.26%,137.42,137.42,0,,,,,,,,,,,,,,,
368,2/15/2011,,,,,1,"2,237.90",-0.31%,136.99,137.42,0.43,,,,,,,,,,,,,,,
369,2/16/2011,,,,,1,"2,252.30",0.64%,137.87,137.87,0,0.43,0.31%,,,,,,,,,,,,,
370,2/17/2011,,,,,1,"2,259.42",0.32%,138.31,138.31,0,,,,,,,,,,,,,,,
371,2/18/2011,,,,,1,"2,263.79",0.19%,138.57,138.57,0,,,,,,,,,,,,,,,
372,2/22/2011,,,,,1,"2,217.35",-2.05%,135.73,138.57,2.84,,,,,,,,,,,,,,,
373,2/23/2011,,,,,1,"2,203.89",-0.61%,134.91,138.57,3.67,,,,,,,,,,,,,,,
374,2/24/2011,,,,,1,"2,202.23",-0.08%,134.81,138.57,3.77,,,,,,,,,,,,,,,
375,2/25/2011,,,,,1,"2,226.05",1.08%,136.26,138.57,3.77,,,,,,,,,,,,,,,
376,2/28/2011,,,,,1,"2,238.55",0.56%,137.03,138.57,3.77,,,,,,,,,,,,,,,
377,3/1/2011,,,,,1,"2,203.32",-1.57%,134.87,138.57,3.77,,,,,,,,,,,,,,,
378,3/2/2011,,,,,1,"2,207.24",0.18%,135.11,138.57,3.77,,,,,,,,,,,,,,,
379,3/3/2011,,,,,1,"2,245.33",1.73%,137.44,138.57,3.77,,,,,,,,,,,,,,,
380,3/4/2011,,,,,1,"2,228.78",-0.74%,136.43,138.57,3.77,,,,,,,,,,,,,,,
381,3/7/2011,,,,,1,"2,210.26",-0.83%,135.3,138.57,3.77,,,,,,,,,,,,,,,
382,3/8/2011,,,,,1,"2,230.40",0.91%,136.53,138.57,3.77,,,,,,,,,,,,,,,
383,3/9/2011,,,,,1,"2,227.70",-0.12%,136.37,138.57,3.77,,,,,,,,,,,,,,,
384,3/10/2011,,,,,1,"2,185.65",-1.89%,133.79,138.57,4.78,,,,,,,,,,,,,,,
385,3/11/2011,,,,,1,"2,201.81",0.74%,134.78,138.57,4.78,,,,,,,,,,,,,,,
386,3/14/2011,,,,,1,"2,188.56",-0.60%,133.97,138.57,4.78,,,,,,,,,,,,,,,
387,3/15/2011,,,,,1,"2,164.06",-1.12%,132.47,138.57,6.1,,,,,,,,,,,,,,,
388,3/16/2011,,,,,1,"2,121.94",-1.95%,129.89,138.57,8.68,,,,,,,,,,,,,,,
389,3/17/2011,,,,,1,"2,150.43",1.34%,131.64,138.57,8.68,,,,,,,,,,,,,,,
390,3/18/2011,,,,,1,"2,159.69",0.43%,132.2,138.57,8.68,,,,,,,,,,,,,,,
391,3/21/2011,,,,,1,"2,192.09",1.50%,134.19,138.57,8.68,,,,,,,,,,,,,,,
392,3/22/2011,,,,,1,"2,184.57",-0.34%,133.72,138.57,8.68,,,,,,,,,,,,,,,
393,3/23/2011,,,,,1,"2,190.96",0.29%,134.12,138.57,8.68,,,,,,,,,,,,,,,
394,3/24/2011,,,,,1,"2,211.42",0.93%,135.37,138.57,8.68,,,,,,,,,,,,,,,
395,3/25/2011,,,,,1,"2,218.42",0.32%,135.8,138.57,8.68,,,,,,,,,,,,,,,
396,3/28/2011,,,,,1,"2,212.32",-0.27%,135.42,138.57,8.68,,,,,,,,,,,,,,,
397,3/29/2011,,,,,1,"2,228.41",0.73%,136.41,138.57,8.68,,,,,,,,,,,,,,,
398,3/30/2011,,,,,1,"2,243.55",0.68%,137.34,138.57,8.68,,,,,,,,,,,,,,,
399,3/31/2011,,,,,1,"2,239.44",-0.18%,137.08,138.57,8.68,,,,,,,,,,,,,,,
400,4/1/2011,,,,,1,"2,250.58",0.50%,137.77,138.57,8.68,,,,,,,,,,,,,,,
401,4/4/2011,,,,,1,"2,251.64",0.05%,137.83,138.57,8.68,,,,,,,,,,,,,,,
402,4/5/2011,,,,,1,"2,251.26",-0.02%,137.81,138.57,8.68,,,,,,,,,,,,,,,
403,4/6/2011,,,,,1,"2,257.11",0.26%,138.17,138.57,8.68,,,,,,,,,,,,,,,
404,4/7/2011,,,,,1,"2,253.76",-0.15%,137.96,138.57,8.68,,,,,,,,,,,,,,,
405,4/8/2011,,,,,1,"2,244.74",-0.40%,137.41,138.57,8.68,,,,,,,,,,,,,,,
406,4/11/2011,,,,,1,"2,238.51",-0.28%,137.03,138.57,8.68,,,,,,,,,,,,,,,
407,4/12/2011,,,,,1,"2,221.12",-0.78%,135.96,138.57,8.68,,,,,,,,,,,,,,,
408,4/13/2011,,,,,1,"2,221.77",0.03%,136,138.57,8.68,,,,,,,,,,,,,,,
409,4/14/2011,,,,,1,"2,221.99",0.01%,136.02,138.57,8.68,,,,,,,,,,,,,,,
410,4/15/2011,,,,,1,"2,230.70",0.39%,136.55,138.57,8.68,,,,,,,,,,,,,,,
411,4/18/2011,,,,,1,"2,206.15",-1.10%,135.05,138.57,8.68,,,,,,,,,,,,,,,
412,4/19/2011,,,,,1,"2,218.86",0.58%,135.82,138.57,8.68,,,,,,,,,,,,,,,
413,4/20/2011,,,,,1,"2,248.90",1.35%,137.66,138.57,8.68,,,,,,,,,,,,,,,
414,4/21/2011,,,,,1,"2,260.84",0.53%,138.39,138.57,8.68,,,,,,,,,,,,,,,
415,4/25/2011,,,,,1,"2,257.24",-0.16%,138.17,138.57,8.68,,,,,,,,,,,,,,,
416,4/26/2011,,,,,1,"2,277.51",0.90%,139.41,139.41,0,8.68,6.23%,,,,,,,,,,,,,
417,4/27/2011,,,,,,"2,292.13",0.64%,140.31,140.31,0,,,,,,,,,,,,,,,
418,4/28/2011,,,,,,"2,300.46",0.36%,140.82,140.82,0,,,,,,,,,,,,,,,
419,4/29/2011,,,,,,"2,305.76",0.23%,141.14,141.14,0,,,,,,,,,,,,,,,
420,5/2/2011,,,,,1,"2,301.72",-0.18%,140.9,141.14,0.25,,,,,,,,,,,,,,,
421,5/3/2011,,,,,1,"2,293.95",-0.34%,140.42,141.14,0.72,,,,,,,,,,,,,,,
422,5/4/2011,,,,,1,"2,278.63",-0.67%,139.48,141.14,1.66,,,,,,,,,,,,,,,
423,5/5/2011,,,,,1,"2,258.08",-0.90%,138.22,141.14,2.92,,,,,,,,,,,,,,,
424,5/6/2011,,,,,1,"2,266.97",0.39%,138.77,141.14,2.92,,,,,,,,,,,,,,,
425,5/9/2011,,,,,1,"2,277.30",0.46%,139.4,141.14,2.92,,,,,,,,,,,,,,,
426,5/10/2011,,,,,1,"2,295.72",0.81%,140.53,141.14,2.92,,,,,,,,,,,,,,,
427,5/11/2011,,,,,1,"2,271.47",-1.06%,139.04,141.14,2.92,,,,,,,,,,,,,,,
428,5/12/2011,,,,,1,"2,282.84",0.50%,139.74,141.14,2.92,,,,,,,,,,,,,,,
429,5/13/2011,,,,,1,"2,264.52",-0.80%,138.62,141.14,2.92,,,,,,,,,,,,,,,
430,5/16/2011,,,,,1,"2,250.61",-0.61%,137.77,141.14,3.38,,,,,,,,,,,,,,,
431,5/17/2011,,,,,1,"2,250.35",-0.01%,137.75,141.14,3.39,,,,,,,,,,,,,,,
432,5/18/2011,,,,,1,"2,270.57",0.90%,138.99,141.14,3.39,,,,,,,,,,,,,,,
433,5/19/2011,,,,,1,"2,275.71",0.23%,139.3,141.14,3.39,,,,,,,,,,,,,,,
434,5/20/2011,,,,,1,"2,258.21",-0.77%,138.23,141.14,3.39,,,,,,,,,,,,,,,
435,5/23/2011,,,,,1,"2,231.31",-1.19%,136.59,141.14,4.56,,,,,,,,,,,,,,,
436,5/24/2011,,,,,1,"2,229.49",-0.08%,136.47,141.14,4.67,,,,,,,,,,,,,,,
437,5/25/2011,,,,,1,"2,236.75",0.33%,136.92,141.14,4.67,,,,,,,,,,,,,,,
438,5/26/2011,,,,,1,"2,246.13",0.42%,137.49,141.14,4.67,,,,,,,,,,,,,,,
439,5/27/2011,,,,,1,"2,255.74",0.43%,138.08,141.14,4.67,,,,,,,,,,,,,,,
440,5/31/2011,,,,,1,"2,279.66",1.06%,139.55,141.14,4.67,,,,,,,,,,,,,,,
441,6/1/2011,,,,,1,"2,227.96",-2.27%,136.38,141.14,4.76,,,,,,,,,,,,,,,
442,6/2/2011,,,,,1,"2,225.36",-0.12%,136.22,141.14,4.92,,,,,,,,,,,,,,,
443,6/3/2011,,,,,1,"2,203.81",-0.97%,134.9,141.14,6.24,,,,,,,,,,,,,,,
444,6/6/2011,,,,,1,"2,180.14",-1.07%,133.45,141.14,7.69,,,,,,,,,,,,,,,
445,6/7/2011,,,,,1,"2,178.15",-0.09%,133.33,141.14,7.81,,,,,,,,,,,,,,,
446,6/8/2011,,,,,1,"2,169.50",-0.40%,132.8,141.14,8.34,,,,,,,,,,,,,,,
447,6/9/2011,,,,,1,"2,185.52",0.74%,133.78,141.14,8.34,,,,,,,,,,,,,,,
448,6/10/2011,,,,,1,"2,155.00",-1.40%,131.91,141.14,9.23,,,,,,,,,,,,,,,
449,6/13/2011,,,,,1,"2,157.15",0.10%,132.05,141.14,9.23,,,,,,,,,,,,,,,
450,6/14/2011,,,,,1,"2,184.48",1.27%,133.72,141.14,9.23,,,,,,,,,,,,,,,
451,6/15/2011,,,,,1,"2,146.45",-1.74%,131.39,141.14,9.75,,,,,,,,,,,,,,,
452,6/16/2011,,,,,1,"2,150.58",0.19%,131.64,141.14,9.75,,,,,,,,,,,,,,,
453,6/17/2011,,,,,1,"2,157.14",0.31%,132.05,141.14,9.75,,,,,,,,,,,,,,,
454,6/20/2011,,,,,1,"2,168.80",0.54%,132.76,141.14,9.75,,,,,,,,,,,,,,,
455,6/21/2011,,,,,1,"2,198.15",1.35%,134.56,141.14,9.75,,,,,,,,,,,,,,,
456,6/22/2011,,,,,1,"2,184.03",-0.64%,133.69,141.14,9.75,,,,,,,,,,,,,,,
457,6/23/2011,,,,,1,"2,177.85",-0.28%,133.31,141.14,9.75,,,,,,,,,,,,,,,
458,6/24/2011,,,,,1,"2,152.31",-1.17%,131.75,141.14,9.75,,,,,,,,,,,,,,,
459,6/27/2011,,,,,1,"2,172.08",0.92%,132.96,141.14,9.75,,,,,,,,,,,,,,,
460,6/28/2011,,,,,1,"2,200.68",1.32%,134.71,141.14,9.75,,,,,,,,,,,,,,,
461,6/29/2011,,,,,1,"2,219.20",0.84%,135.84,141.14,9.75,,,,,,,,,,,,,,,
462,6/30/2011,,,,,1,"2,241.66",1.01%,137.22,141.14,9.75,,,,,,,,,,,,,,,
463,7/1/2011,,,,,1,"2,274.26",1.45%,139.22,141.14,9.75,,,,,,,,,,,,,,,
464,7/5/2011,,,,,1,"2,271.29",-0.13%,139.03,141.14,9.75,,,,,,,,,,,,,,,
465,7/6/2011,,,,,1,"2,274.42",0.14%,139.22,141.14,9.75,,,,,,,,,,,,,,,
466,7/7/2011,,,,,1,"2,298.31",1.05%,140.69,141.14,9.75,,,,,,,,,,,,,,,
467,7/8/2011,,,,,1,"2,282.32",-0.70%,139.71,141.14,9.75,,,,,,,,,,,,,,,
468,7/11/2011,,,,,1,"2,241.07",-1.81%,137.18,141.14,9.75,,,,,,,,,,,,,,,
469,7/12/2011,,,,,1,"2,231.15",-0.44%,136.58,141.14,9.75,,,,,,,,,,,,,,,
470,7/13/2011,,,,,1,"2,238.29",0.32%,137.01,141.14,9.75,,,,,,,,,,,,,,,
471,7/14/2011,,,,,1,"2,223.29",-0.67%,136.1,141.14,9.75,,,,,,,,,,,,,,,
472,7/15/2011,,,,,1,"2,235.65",0.56%,136.85,141.14,9.75,,,,,,,,,,,,,,,
473,7/18/2011,,,,,1,"2,217.55",-0.81%,135.74,141.14,9.75,,,,,,,,,,,,,,,
474,7/19/2011,,,,,1,"2,253.71",1.63%,137.96,141.14,9.75,,,,,,,,,,,,,,,
475,7/20/2011,,,,,1,"2,252.52",-0.05%,137.88,141.14,9.75,,,,,,,,,,,,,,,
476,7/21/2011,,,,,1,"2,283.23",1.36%,139.76,141.14,9.75,,,,,,,,,,,,,,,
477,7/22/2011,,,,,1,"2,285.34",0.09%,139.89,141.14,9.75,,,,,,,,,,,,,,,
478,7/25/2011,,,,,1,"2,272.47",-0.56%,139.11,141.14,9.75,,,,,,,,,,,,,,,
479,7/26/2011,,,,,1,"2,263.15",-0.41%,138.54,141.14,9.75,,,,,,,,,,,,,,,
480,7/27/2011,,,,,1,"2,217.29",-2.03%,135.73,141.14,9.75,,,,,,,,,,,,,,,
481,7/28/2011,,,,,1,"2,210.33",-0.31%,135.3,141.14,9.75,,,,,,,,,,,,,,,
482,7/29/2011,,,,,1,"2,196.08",-0.64%,134.43,141.14,9.75,,,,,,,,,,,,,,,
483,8/1/2011,,,,,1,"2,187.00",-0.41%,133.87,141.14,9.75,,,,,,,,,,,,,,,
484,8/2/2011,,,,,1,"2,131.10",-2.56%,130.45,141.14,10.69,,,,,,,,,,,,,,,
485,8/3/2011,,,,,1,"2,142.56",0.54%,131.15,141.14,10.69,,,,,,,,,,,,,,,
486,8/4/2011,,,,,1,"2,040.20",-4.78%,124.89,141.14,16.26,,,,,,,,,,,,,,,
487,8/5/2011,,,,,1,"2,039.04",-0.06%,124.82,141.14,16.33,,,,,,,,,,,,,,,
488,8/8/2011,,,,,1,"1,903.47",-6.65%,116.52,141.14,24.63,,,,,,,,,,,,,,,
489,8/9/2011,,,,,1,"1,993.76",4.74%,122.04,141.14,24.63,,,,,,,,,,,,,,,
490,8/10/2011,,,,,1,"1,906.53",-4.38%,116.71,141.14,24.63,,,,,,,,,,,,,,,
491,8/11/2011,,,,,1,"1,995.14",4.65%,122.13,141.14,24.63,,,,,,,,,,,,,,,
492,8/12/2011,,,,,1,"2,005.67",0.53%,122.77,141.14,24.63,,,,,,,,,,,,,,,
493,8/15/2011,,,,,1,"2,049.51",2.19%,125.46,141.14,24.63,,,,,,,,,,,,,,,
