date	close
1-Sep-09	998.04
2-Sep-09	994.75
3-Sep-09	1003.24
4-Sep-09	1016.40
8-Sep-09	1025.39
9-Sep-09	1033.37
10-Sep-09	1044.14
11-Sep-09	1042.73
14-Sep-09	1049.34
15-Sep-09	1052.63
16-Sep-09	1068.76
17-Sep-09	1065.49
18-Sep-09	1068.30
21-Sep-09	1064.66
22-Sep-09	1071.66
23-Sep-09	1060.87
24-Sep-09	1050.78
25-Sep-09	1044.38
28-Sep-09	1062.98
29-Sep-09	1060.61
30-Sep-09	1057.08
1-Oct-09	1029.85
2-Oct-09	1025.21
5-Oct-09	1040.46
6-Oct-09	1054.72
7-Oct-09	1057.58
8-Oct-09	1065.48
9-Oct-09	1071.49
12-Oct-09	1076.19
13-Oct-09	1073.19
14-Oct-09	1092.02
15-Oct-09	1096.56
16-Oct-09	1087.68
19-Oct-09	1097.91
20-Oct-09	1091.06
21-Oct-09	1081.40
22-Oct-09	1092.91
23-Oct-09	1079.60
26-Oct-09	1066.95
27-Oct-09	1063.41
28-Oct-09	1042.63
29-Oct-09	1066.11
30-Oct-09	1036.19
2-Nov-09	1042.88
3-Nov-09	1045.41
4-Nov-09	1046.50
5-Nov-09	1066.63
6-Nov-09	1069.30
9-Nov-09	1093.08
10-Nov-09	1093.01
11-Nov-09	1098.51
12-Nov-09	1087.24
13-Nov-09	1093.48
16-Nov-09	1109.30
17-Nov-09	1110.32
18-Nov-09	1109.80
19-Nov-09	1094.90
20-Nov-09	1091.38
23-Nov-09	1106.24
24-Nov-09	1105.65
25-Nov-09	1110.63
27-Nov-09	1091.49
30-Nov-09	1095.63
1-Dec-09	1108.86
2-Dec-09	1109.24
3-Dec-09	1099.92
4-Dec-09	1105.98
7-Dec-09	1103.25
8-Dec-09	1091.94
9-Dec-09	1095.95
10-Dec-09	1102.35
11-Dec-09	1106.41
14-Dec-09	1114.11
15-Dec-09	1107.93
16-Dec-09	1109.18
17-Dec-09	1096.08
18-Dec-09	1102.47
21-Dec-09	1114.05
22-Dec-09	1118.02
23-Dec-09	1120.59
24-Dec-09	1126.48
28-Dec-09	1127.78
29-Dec-09	1126.20
30-Dec-09	1126.42
31-Dec-09	1115.10
4-Jan-10	1132.99
5-Jan-10	1136.52
6-Jan-10	1137.14
7-Jan-10	1141.69
8-Jan-10	1144.98
11-Jan-10	1146.98
12-Jan-10	1136.22
13-Jan-10	1145.68
14-Jan-10	1148.46
15-Jan-10	1136.03
19-Jan-10	1150.23
20-Jan-10	1138.04
21-Jan-10	1116.48
22-Jan-10	1091.76
25-Jan-10	1096.78
26-Jan-10	1092.17
27-Jan-10	1097.50
28-Jan-10	1084.53
29-Jan-10	1073.87
1-Feb-10	1089.19
2-Feb-10	1103.32
3-Feb-10	1097.28
4-Feb-10	1063.11
5-Feb-10	1066.19
8-Feb-10	1056.74
9-Feb-10	1070.52
10-Feb-10	1068.13
11-Feb-10	1078.47
12-Feb-10	1075.51
16-Feb-10	1094.87
17-Feb-10	1099.51
18-Feb-10	1106.75
19-Feb-10	1109.17
22-Feb-10	1108.01
23-Feb-10	1094.60
24-Feb-10	1105.24
25-Feb-10	1102.94
26-Feb-10	1104.49
1-Mar-10	1115.71
2-Mar-10	1118.31
3-Mar-10	1118.79
4-Mar-10	1122.97
5-Mar-10	1138.70
8-Mar-10	1138.50
9-Mar-10	1140.45
10-Mar-10	1145.61
11-Mar-10	1150.24
12-Mar-10	1149.99
15-Mar-10	1150.51
16-Mar-10	1159.46
17-Mar-10	1166.21
18-Mar-10	1165.83
19-Mar-10	1159.90
22-Mar-10	1165.81
23-Mar-10	1174.17
24-Mar-10	1167.72
25-Mar-10	1165.73
26-Mar-10	1166.59
29-Mar-10	1173.22
30-Mar-10	1173.27
31-Mar-10	1169.43
1-Apr-10	1178.10
5-Apr-10	1187.44
6-Apr-10	1189.44
7-Apr-10	1182.45
8-Apr-10	1186.44
9-Apr-10	1194.37
12-Apr-10	1196.48
13-Apr-10	1197.30
14-Apr-10	1210.65
15-Apr-10	1211.67
16-Apr-10	1192.13
19-Apr-10	1197.52
20-Apr-10	1207.17
21-Apr-10	1205.94
22-Apr-10	1208.67
23-Apr-10	1217.28
26-Apr-10	1212.05
27-Apr-10	1183.71
28-Apr-10	1191.36
29-Apr-10	1206.78
30-Apr-10	1186.69
3-May-10	1202.26
4-May-10	1173.60
5-May-10	1165.87
6-May-10	1128.15
7-May-10	1110.88
10-May-10	1159.73
11-May-10	1155.79
12-May-10	1171.67
13-May-10	1157.44
14-May-10	1135.68
17-May-10	1136.94
18-May-10	1120.80
19-May-10	1115.05
20-May-10	1071.59
21-May-10	1087.69
24-May-10	1073.65
25-May-10	1074.03
26-May-10	1067.95
27-May-10	1103.06
28-May-10	1089.41
1-Jun-10	1070.71
2-Jun-10	1098.38
3-Jun-10	1102.83
4-Jun-10	1064.88
7-Jun-10	1050.47
8-Jun-10	1062.00
9-Jun-10	1055.69
10-Jun-10	1086.84
11-Jun-10	1091.60
14-Jun-10	1089.63
15-Jun-10	1115.23
16-Jun-10	1114.61
17-Jun-10	1116.04
18-Jun-10	1117.51
21-Jun-10	1113.20
22-Jun-10	1095.31
23-Jun-10	1092.04
24-Jun-10	1073.69
25-Jun-10	1076.76
28-Jun-10	1074.57
29-Jun-10	1041.24
30-Jun-10	1030.71
1-Jul-10	1027.37
2-Jul-10	1022.58
6-Jul-10	1028.06
7-Jul-10	1060.27
8-Jul-10	1070.25
9-Jul-10	1077.96
12-Jul-10	1078.75
13-Jul-10	1095.34
14-Jul-10	1095.17
15-Jul-10	1096.48
16-Jul-10	1064.88
19-Jul-10	1071.25
20-Jul-10	1083.48
21-Jul-10	1069.59
22-Jul-10	1093.67
23-Jul-10	1102.66
26-Jul-10	1115.01
27-Jul-10	1113.84
28-Jul-10	1106.13
29-Jul-10	1101.53
30-Jul-10	1101.60
2-Aug-10	1125.86
3-Aug-10	1120.46
4-Aug-10	1127.24
5-Aug-10	1125.81
6-Aug-10	1121.64
9-Aug-10	1127.79
10-Aug-10	1121.06
11-Aug-10	1089.47
12-Aug-10	1083.61
13-Aug-10	1079.25
16-Aug-10	1079.38
17-Aug-10	1092.54
18-Aug-10	1094.16
19-Aug-10	1075.63
20-Aug-10	1071.69
23-Aug-10	1067.36
24-Aug-10	1051.87
25-Aug-10	1055.33
26-Aug-10	1047.22
27-Aug-10	1064.59
30-Aug-10	1048.92
31-Aug-10	1049.33
1-Sep-10	1080.29
2-Sep-10	1090.10
3-Sep-10	1104.51
7-Sep-10	1091.84
8-Sep-10	1098.87
9-Sep-10	1104.18
10-Sep-10	1109.55
13-Sep-10	1121.90
14-Sep-10	1121.10
15-Sep-10	1125.07
16-Sep-10	1124.66
17-Sep-10	1125.59
20-Sep-10	1142.71
21-Sep-10	1139.78
22-Sep-10	1134.28
23-Sep-10	1124.83
24-Sep-10	1148.67
27-Sep-10	1142.16
28-Sep-10	1147.70
29-Sep-10	1144.73
30-Sep-10	1141.20
1-Oct-10	1146.24
4-Oct-10	1137.03
5-Oct-10	1160.75
6-Oct-10	1159.97
7-Oct-10	1158.06
8-Oct-10	1165.15
11-Oct-10	1165.32
12-Oct-10	1169.77
13-Oct-10	1178.10
14-Oct-10	1173.81
15-Oct-10	1176.19
18-Oct-10	1184.71
19-Oct-10	1165.90
20-Oct-10	1178.17
21-Oct-10	1180.26
22-Oct-10	1183.08
25-Oct-10	1185.62
26-Oct-10	1185.64
27-Oct-10	1182.45
28-Oct-10	1183.78
29-Oct-10	1183.26
1-Nov-10	1184.38
2-Nov-10	1193.57
3-Nov-10	1197.96
4-Nov-10	1221.06
5-Nov-10	1225.85
8-Nov-10	1223.25
9-Nov-10	1213.40
10-Nov-10	1218.71
11-Nov-10	1213.54
12-Nov-10	1199.21
15-Nov-10	1197.75
16-Nov-10	1178.34
17-Nov-10	1178.59
18-Nov-10	1196.69
19-Nov-10	1199.73
22-Nov-10	1197.84
23-Nov-10	1180.73
24-Nov-10	1198.35
26-Nov-10	1189.40
29-Nov-10	1187.76
30-Nov-10	1180.55
1-Dec-10	1206.07
2-Dec-10	1221.53
3-Dec-10	1224.71
