RESULT_COUNT: 3272,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-08-16,941.25,949.9,940.0391,944.27,1329301.0,0.0,1.0,941.25,949.9,940.0391,944.27,1329301.0
2017-08-15,941.03,943.07,936.64,938.08,1106484.0,0.0,1.0,941.03,943.07,936.64,938.08,1106484.0
2017-08-14,939.07,941.04,934.485,938.93,1150612.0,0.0,1.0,939.07,941.04,934.485,938.93,1150612.0
2017-08-11,923.71,933.36,921.22,930.09,1616708.0,0.0,1.0,923.71,933.36,921.22,930.09,1616708.0
2017-08-10,935.0,936.3,921.7768,923.59,2707393.0,0.0,1.0,935.0,936.3,921.7768,923.59,2707393.0
2017-08-09,938.45,943.76,933.92,940.08,1400852.0,0.0,1.0,938.45,943.76,933.92,940.08,1400852.0
2017-08-08,944.29,952.49,942.48,944.19,1505064.0,0.0,1.0,944.29,952.49,942.48,944.19,1505064.0
2017-08-07,947.52,948.96,943.5,945.75,1445754.0,0.0,1.0,947.52,948.96,943.5,945.75,1445754.0
2017-08-04,943.95,947.54,939.795,945.79,1254574.0,0.0,1.0,943.95,947.54,939.795,945.79,1254574.0
2017-08-03,949.1,950.0,939.44,940.3,1123921.0,0.0,1.0,949.1,950.0,939.44,940.3,1123921.0
2017-08-02,948.37,949.1,932.521,947.64,2039418.0,0.0,1.0,948.37,949.1,932.521,947.64,2039418.0
2017-08-01,947.81,954.49,944.96,946.56,1332456.0,0.0,1.0,947.81,954.49,944.96,946.56,1332456.0
2017-07-31,960.0,961.1925,941.725,945.5,2293389.0,0.0,1.0,960.0,961.1925,941.725,945.5,2293389.0
2017-07-28,947.99,961.79,945.31,958.33,1813794.0,0.0,1.0,947.99,961.79,945.31,958.33,1813794.0
2017-07-27,969.18,969.52,937.06,952.51,3717900.0,0.0,1.0,969.18,969.52,937.06,952.51,3717900.0
2017-07-26,972.78,973.95,960.23,965.31,2221625.0,0.0,1.0,972.78,973.95,960.23,965.31,2221625.0
2017-07-25,970.7,976.73,963.8,969.03,5933602.0,0.0,1.0,970.7,976.73,963.8,969.03,5933602.0
2017-07-24,994.1,1006.19,990.2728,998.31,3984532.0,0.0,1.0,994.1,1006.19,990.2728,998.31,3984532.0
2017-07-21,989.0,995.11,984.17,993.84,1463322.0,0.0,1.0,989.0,995.11,984.17,993.84,1463322.0
2017-07-20,997.0,998.68,984.62,992.19,1418385.0,0.0,1.0,997.0,998.68,984.62,992.19,1418385.0
