Timestamp,Close,High,Low,Open,Adj Close,Volume
1433424650,2107.389893,2126.219971,2099.179932,2125.340088,2107.389893,13377830000
1433424718,2092.830078,2121.919922,2085.669922,2108.639893,2092.830078,15604780000
1433424720,2094.110107,2115.02002,2072.139893,2092.340088,2094.110107,15214050000
1433424836,2109.98999,2126.649902,2072.48999,2091.340088,2109.98999,17173880000
1433424899,2101.48999,2129.870117,2095.379883,2112.5,2101.48999,17463770000
1433424959,2076.780029,2098.629883,2056.320068,2098.629883,2076.780029,14481300000
1433425015,2076.620117,2083.73999,2044.02002,2073.949951,2076.620117,18065680000
1433425078,2126.639893,2128.909912,2080.030029,2080.030029,2126.639893,15950490000
1433425080,2079.649902,2132.820068,2077.090088,2126.850098,2079.649902,17926480000
1433425140,2103.840088,2114.23999,2063.52002,2078.189941,2103.840088,19254140000
1433425259,2077.570068,2112.659912,2067.909912,2104.48999,2077.570068,18841050000
1433425319,2091.540039,2105.350098,2052.090088,2080.97998,2091.540039,17509360000
1433425378,1970.890015,2103.469971,1970.890015,2089.699951,1970.890015,18271310000
1433425431,1988.869995,1993.47998,1867.01001,1965.150024,1988.869995,26089970000
1433425447,1921.219971,1986.72998,1903.069946,1986.72998,1921.219971,18717360000
1433425558,1961.050049,1988.630005,1927.300049,1927.300049,1961.050049,14045680000
1433425610,1958.030029,2020.859985,1948.27002,1963.060059,1958.030029,20075770000
1433425674,1931.339966,1979.640015,1908.920044,1960.839966,1931.339966,18081540000
1433425738,1951.359985,1951.359985,1871.910034,1929.180054,1951.359985,21346290000
1433425795,2014.890015,2020.130005,1954.329956,1954.329956,2014.890015,20849400000
1433425858,2033.109985,2033.540039,1990.72998,2015.650024,2033.109985,17281480000
1433425918,2075.149902,2079.73999,2017.219971,2031.72998,2075.149902,18785920000
1433425979,2079.360107,2094.320068,2058.840088,2075.080078,2079.360107,20565930000
1433426034,2099.199951,2116.47998,2080.76001,2080.76001,2099.199951,20531860000
1433426043,2023.040039,2096.560059,2022.02002,2096.560059,2023.040039,19691320000
1433426218,2089.169922,2097.060059,2019.390015,2022.079956,2089.169922,19652690000
1433426278,2090.110107,2095.610107,2070.290039,2089.409912,2090.110107,11792690000
1433426339,2091.689941,2104.27002,2042.349976,2090.949951,2091.689941,20429190000
1433426340,2012.369995,2090.419922,2008.800049,2090.419922,2012.369995,20618850000
1433426458,2005.550049,2076.719971,1993.26001,2013.369995,2005.550049,24611890000
1433426516,2060.98999,2067.360107,2005.930054,2010.27002,2060.98999,12177090000
1433426576,2043.939941,2081.560059,2043.619995,2057.77002,2043.939941,10057270000
1433426632,1922.030029,2038.199951,1918.459961,2038.199951,1922.030029,22089690000
1433426699,1880.329956,1950.329956,1857.829956,1926.119995,1880.329956,25291150000
1433426706,1906.900024,1908.849976,1812.290039,1888.660034,1906.900024,21324990000
1433426763,1940.23999,1940.23999,1872.699951,1906.280029,1940.23999,23703940000
1433426821,1880.050049,1947.199951,1872.22998,1936.939941,1880.050049,24081930000
1433426886,1864.780029,1881.599976,1810.099976,1873.25,1864.780029,25488570000
